epoch,train_loss,train_eval,test_loss,test_eval
1,1.5512015345870265,[0.0; 0.0; 0.0; 0.0; 0.0],1.5021783678155196,[0.39299535751342773; 0.34894096851348877; 0.03867025300860405; 0.13866516947746277; 0.04593704640865326]
2,1.4678446593926706,[0.0; 0.0; 0.0; 0.0; 0.0],1.476855062601859,[0.37179845571517944; 0.46379345655441284; 0.022707786411046982; 0.18039759993553162; 0.06796668469905853]
3,1.4487530127266386,[0.0; 0.0; 0.0; 0.0; 0.0],1.4601065715154011,[0.42910313606262207; 0.503580629825592; 0.024962540715932846; 0.228073388338089; 0.07619260251522064]
4,1.429817223127841,[0.0; 0.0; 0.0; 0.0; 0.0],1.441375496094687,[0.431832492351532; 0.5276706218719482; 0.03991615027189255; 0.255909264087677; 0.08259506523609161]
5,1.4141024114280347,[0.0; 0.0; 0.0; 0.0; 0.0],1.4253215580655818,[0.4370208978652954; 0.5535749793052673; 0.05120021849870682; 0.27646389603614807; 0.08409425616264343]
6,1.3999586971127171,[0.0; 0.0; 0.0; 0.0; 0.0],1.4034286988408942,[0.4467734098434448; 0.5842138528823853; 0.04737301170825958; 0.27226459980010986; 0.07842500507831573]
7,1.3856085646757754,[0.0; 0.0; 0.0; 0.0; 0.0],1.379234744791399,[0.449920117855072; 0.5807816386222839; 0.049478378146886826; 0.29346922039985657; 0.09817980974912643]
8,1.3615963482698858,[0.0; 0.0; 0.0; 0.0; 0.0],1.3655889787172015,[0.47204309701919556; 0.5991023778915405; 0.05173250287771225; 0.32834649085998535; 0.09160331636667252]
9,1.3574592882960574,[0.0; 0.0; 0.0; 0.0; 0.0],1.3569254707871823,[0.4634169340133667; 0.6139562129974365; 0.05190788954496384; 0.3341744840145111; 0.08911696076393127]
10,1.3413003198884708,[0.0; 0.0; 0.0; 0.0; 0.0],1.3285696150963766,[0.49154573678970337; 0.6359736919403076; 0.0528557114303112; 0.35640066862106323; 0.09011009335517883]
11,1.3170153410492618,[0.0; 0.0; 0.0; 0.0; 0.0],1.3066112786008601,[0.5184623003005981; 0.6668994426727295; 0.049001988023519516; 0.3760937750339508; 0.0963851809501648]
12,1.307451171064482,[0.0; 0.0; 0.0; 0.0; 0.0],1.2986714045206706,[0.5348184108734131; 0.6596271991729736; 0.05979001149535179; 0.37646007537841797; 0.09480290114879608]
13,1.2993168228246255,[0.0; 0.0; 0.0; 0.0; 0.0],1.283823981619718,[0.5549315214157104; 0.6764447689056396; 0.05286850407719612; 0.4082343578338623; 0.09391355514526367]
14,1.2859710068102703,[0.0; 0.0; 0.0; 0.0; 0.0],1.2760511197541888,[0.5602072477340698; 0.6731459498405457; 0.052998751401901245; 0.42901283502578735; 0.09301376342773438]
15,1.2786472812130487,[0.0; 0.0; 0.0; 0.0; 0.0],1.2777084321306462,[0.5578209161758423; 0.6647669672966003; 0.05658762902021408; 0.4351285994052887; 0.09323305636644363]
16,1.2674179179778953,[0.0; 0.0; 0.0; 0.0; 0.0],1.2534372074562206,[0.5715070962905884; 0.6713436841964722; 0.05706893652677536; 0.4609655737876892; 0.0999939888715744]
17,1.2403716717334772,[0.0; 0.0; 0.0; 0.0; 0.0],1.2324869946429604,[0.5756930708885193; 0.6784415245056152; 0.05416850373148918; 0.49055230617523193; 0.12090467661619186]
18,1.2315729285444381,[0.0; 0.0; 0.0; 0.0; 0.0],1.204309528334099,[0.5754333138465881; 0.6796906590461731; 0.05449648201465607; 0.5407736897468567; 0.13567695021629333]
19,1.2054619504915958,[0.0; 0.0; 0.0; 0.0; 0.0],1.1756784706784968,[0.5872741937637329; 0.6836174726486206; 0.05593114718794823; 0.6319504976272583; 0.14267663657665253]
20,1.1789001171162585,[0.0; 0.0; 0.0; 0.0; 0.0],1.1704982163613302,[0.5834800601005554; 0.6691529154777527; 0.05660261958837509; 0.6728310585021973; 0.15643548965454102]
21,1.1545539370698907,[0.0; 0.0; 0.0; 0.0; 0.0],1.13264875244676,[0.5854268074035645; 0.6832919120788574; 0.06788154691457748; 0.7344081401824951; 0.16325941681861877]
22,1.1377989998453237,[0.0; 0.0; 0.0; 0.0; 0.0],1.0917753650431048,[0.57598876953125; 0.6826021671295166; 0.07594841718673706; 0.7674728631973267; 0.19437086582183838]
