epoch,train_loss,train_eval,test_loss,test_eval
1,1.6953770761721445,[0.0; 0.0; 0.0; 0.0; 0.0],1.6299715397650736,[0.39406347274780273; 0.5257693529129028; 0.025614697486162186; 0.28678908944129944; 0.08613401651382446]
2,1.5518045022787637,[0.0; 0.0; 0.0; 0.0; 0.0],1.4312468537113123,[0.4129916727542877; 0.6154696941375732; 0.038002364337444305; 0.7186466455459595; 0.08484645187854767]
3,1.3922193776692775,[0.0; 0.0; 0.0; 0.0; 0.0],1.2924109111752426,[0.5329625606536865; 0.706609845161438; 0.06775059551000595; 0.7891370058059692; 0.15689417719841003]
4,1.2846580251689514,[0.0; 0.0; 0.0; 0.0; 0.0],1.1923854999374925,[0.6463057994842529; 0.7248620390892029; 0.06300629675388336; 0.8144053220748901; 0.29455193877220154]
5,1.1917092723825382,[0.0; 0.0; 0.0; 0.0; 0.0],1.1240609800606443,[0.6812038421630859; 0.738700270652771; 0.07432235777378082; 0.8331535458564758; 0.49188727140426636]
6,1.1003029680673124,[0.0; 0.0; 0.0; 0.0; 0.0],1.04439069513689,[0.6780965328216553; 0.7604273557662964; 0.07058519124984741; 0.8439660668373108; 0.5704045295715332]
7,1.022105723290517,[0.0; 0.0; 0.0; 0.0; 0.0],0.9876923686579654,[0.7269895076751709; 0.7621394991874695; 0.0775190144777298; 0.8521026372909546; 0.633089005947113]
8,0.9618707675544368,[0.0; 0.0; 0.0; 0.0; 0.0],0.959054642602017,[0.685860276222229; 0.7703263759613037; 0.09056630730628967; 0.8714233636856079; 0.6545935869216919]
9,0.9041258873002682,[0.0; 0.0; 0.0; 0.0; 0.0],0.8942589352005407,[0.7247851490974426; 0.7522743940353394; 0.12030439078807831; 0.8738541007041931; 0.6939040422439575]
10,0.8593241561853859,[0.0; 0.0; 0.0; 0.0; 0.0],0.8640266039915252,[0.7344558238983154; 0.7632830739021301; 0.12127514183521271; 0.8750008344650269; 0.7187204360961914]
11,0.8194855038430254,[0.0; 0.0; 0.0; 0.0; 0.0],0.8237942425828231,[0.7181805372238159; 0.7493769526481628; 0.14446920156478882; 0.8822254538536072; 0.73121178150177]
12,0.798051848053669,[0.0; 0.0; 0.0; 0.0; 0.0],0.8057488621326915,[0.7314746379852295; 0.7858037948608398; 0.11854874342679977; 0.8780981302261353; 0.7354069948196411]
13,0.765370182643663,[0.0; 0.0; 0.0; 0.0; 0.0],0.8218319384675277,[0.6987650394439697; 0.7844148874282837; 0.1542244851589203; 0.881871223449707; 0.6715469360351562]
14,0.7461978093151488,[0.0; 0.0; 0.0; 0.0; 0.0],0.8117576774797941,[0.7381436228752136; 0.7869865894317627; 0.24675515294075012; 0.8836559057235718; 0.7615062594413757]
15,0.7190600786251211,[0.0; 0.0; 0.0; 0.0; 0.0],0.8208003556519224,[0.6966550946235657; 0.8078567981719971; 0.22782929241657257; 0.8787344694137573; 0.7149506211280823]
16,0.7040576992708589,[0.0; 0.0; 0.0; 0.0; 0.0],0.8103714595761216,[0.7716987133026123; 0.8164248466491699; 0.2755865454673767; 0.8950881361961365; 0.708785891532898]
