epoch,train_loss,train_eval,test_loss,test_eval
1,2.116003450178942,[0.0; 0.0; 0.0; 0.0; 0.0],2.0439848272423995,[0.39423567056655884; 0.5262484550476074; 0.02523207664489746; 0.2903391122817993; 0.08632583916187286]
2,1.9534608923046795,[0.0; 0.0; 0.0; 0.0; 0.0],1.8120438948012234,[0.4111449122428894; 0.6130607724189758; 0.03728814050555229; 0.7239245176315308; 0.09109580516815186]
3,1.7723847240801678,[0.0; 0.0; 0.0; 0.0; 0.0],1.6561318531370999,[0.5264437198638916; 0.7073479890823364; 0.07025085389614105; 0.7914159297943115; 0.1561993956565857]
4,1.650519846290942,[0.0; 0.0; 0.0; 0.0; 0.0],1.532379192218446,[0.6503723859786987; 0.7240750789642334; 0.061405815184116364; 0.8115774393081665; 0.3059873580932617]
5,1.5422588052602266,[0.0; 0.0; 0.0; 0.0; 0.0],1.4510886480933742,[0.6826047897338867; 0.7419208288192749; 0.0728616863489151; 0.8366935849189758; 0.5197615623474121]
6,1.4346565129214828,[0.0; 0.0; 0.0; 0.0; 0.0],1.3875364755329334,[0.6397384405136108; 0.7611629366874695; 0.07718351483345032; 0.8506650924682617; 0.5596140623092651]
7,1.3399765107279056,[0.0; 0.0; 0.0; 0.0; 0.0],1.3039457609778957,[0.7015553712844849; 0.760156512260437; 0.07363671064376831; 0.8515901565551758; 0.662882924079895]
8,1.2641335420524311,[0.0; 0.0; 0.0; 0.0; 0.0],1.2596522841537208,[0.6913858652114868; 0.7670276165008545; 0.09426077455282211; 0.866475522518158; 0.6849675178527832]
9,1.197738376411118,[0.0; 0.0; 0.0; 0.0; 0.0],1.1781752569633617,[0.7186809182167053; 0.7606650590896606; 0.12571005523204803; 0.8721991181373596; 0.7049468159675598]
10,1.1333013267706562,[0.0; 0.0; 0.0; 0.0; 0.0],1.1345065832138062,[0.7447364330291748; 0.7777787446975708; 0.12959274649620056; 0.8740254640579224; 0.7094054222106934]
11,1.0812884290223617,[0.0; 0.0; 0.0; 0.0; 0.0],1.0849743182199043,[0.7298995852470398; 0.7606186866760254; 0.1822321116924286; 0.8751742839813232; 0.7326206564903259]
12,1.0453771308031565,[0.0; 0.0; 0.0; 0.0; 0.0],1.0803601103916503,[0.7295882701873779; 0.7984702587127686; 0.15252834558486938; 0.8835318088531494; 0.6912093162536621]
13,1.004996348690513,[0.0; 0.0; 0.0; 0.0; 0.0],1.1078321933746338,[0.6850391626358032; 0.7739389538764954; 0.15635094046592712; 0.8771394491195679; 0.6796668767929077]
14,0.9851513258931915,[0.0; 0.0; 0.0; 0.0; 0.0],1.1017859484020032,[0.7232698798179626; 0.7746341228485107; 0.3051029443740845; 0.8788765668869019; 0.7357276678085327]
15,0.9613969797067031,[0.0; 0.0; 0.0; 0.0; 0.0],1.0082375794126277,[0.7351995706558228; 0.8176000118255615; 0.2219916135072708; 0.8802773952484131; 0.7551811933517456]
16,0.920342537740998,[0.0; 0.0; 0.0; 0.0; 0.0],0.955419939860963,[0.7598311901092529; 0.8135899901390076; 0.34176772832870483; 0.8911186456680298; 0.7554188966751099]
17,0.9017515600911828,[0.0; 0.0; 0.0; 0.0; 0.0],1.0444507347910028,[0.7389292120933533; 0.8072730898857117; 0.29913023114204407; 0.9002333283424377; 0.7265308499336243]
18,0.9132517194642663,[0.0; 0.0; 0.0; 0.0; 0.0],1.0279147468115155,[0.7362222075462341; 0.7636783123016357; 0.21223843097686768; 0.8802487850189209; 0.7298091650009155]
19,0.903247007997357,[0.0; 0.0; 0.0; 0.0; 0.0],0.9398809545918515,[0.7454577684402466; 0.7874661087989807; 0.3631822466850281; 0.8959939479827881; 0.7575275301933289]
20,0.8665766213377054,[0.0; 0.0; 0.0; 0.0; 0.0],1.0017411980712623,[0.7281445264816284; 0.8221462965011597; 0.3378918468952179; 0.8960473537445068; 0.7810369729995728]
21,0.8457383851605009,[0.0; 0.0; 0.0; 0.0; 0.0],1.100062838771887,[0.7715353965759277; 0.8157496452331543; 0.2936636209487915; 0.8871971368789673; 0.7208859920501709]
22,0.8182885411296196,[0.0; 0.0; 0.0; 0.0; 0.0],0.9266850969247651,[0.7806800007820129; 0.8247213363647461; 0.3392435610294342; 0.8853160738945007; 0.8079524636268616]
23,0.8007069318236631,[0.0; 0.0; 0.0; 0.0; 0.0],0.9707233173805371,[0.7457476854324341; 0.8208394646644592; 0.3900272250175476; 0.9013733863830566; 0.705474853515625]
24,0.7804607705564688,[0.0; 0.0; 0.0; 0.0; 0.0],0.9708797136942545,[0.7605672478675842; 0.8190125823020935; 0.3810540437698364; 0.8930708765983582; 0.7366955876350403]
25,0.7717691799399605,[0.0; 0.0; 0.0; 0.0; 0.0],0.9522671825007388,[0.76646888256073; 0.7682563066482544; 0.41016721725463867; 0.8985456228256226; 0.7605811953544617]
26,0.7512668951457699,[0.0; 0.0; 0.0; 0.0; 0.0],0.9564096091086405,[0.7537219524383545; 0.8204511404037476; 0.38524776697158813; 0.9005342721939087; 0.7772115468978882]
27,0.7207437224735488,[0.0; 0.0; 0.0; 0.0; 0.0],0.9766363449263991,[0.7561822533607483; 0.8196463584899902; 0.40388214588165283; 0.905105710029602; 0.7997457981109619]
28,0.7101071920352793,[0.0; 0.0; 0.0; 0.0; 0.0],1.037748184120446,[0.7591785788536072; 0.8287855982780457; 0.3506762385368347; 0.9053491353988647; 0.793502926826477]
29,0.6979501555297548,[0.0; 0.0; 0.0; 0.0; 0.0],0.933688061279163,[0.7185838222503662; 0.8329230546951294; 0.4258984923362732; 0.9081341028213501; 0.8167836666107178]
30,0.6757578344534565,[0.0; 0.0; 0.0; 0.0; 0.0],0.8990996699584158,[0.7589353322982788; 0.8377470970153809; 0.45249903202056885; 0.9149450063705444; 0.8255888223648071]
31,0.6523037301520375,[0.0; 0.0; 0.0; 0.0; 0.0],0.9958758437842653,[0.7406611442565918; 0.8179207444190979; 0.4465026259422302; 0.9087066650390625; 0.7730100750923157]
32,0.6679194399852626,[0.0; 0.0; 0.0; 0.0; 0.0],0.9271047512690226,[0.7439964413642883; 0.8269192576408386; 0.3997418284416199; 0.9133155345916748; 0.7989687919616699]
33,0.6284895390601084,[0.0; 0.0; 0.0; 0.0; 0.0],0.9085446177867421,[0.7784544825553894; 0.8186317086219788; 0.4604332745075226; 0.9193791151046753; 0.796867847442627]
34,0.621899226906547,[0.0; 0.0; 0.0; 0.0; 0.0],0.8971178155196341,[0.7662874460220337; 0.8310613632202148; 0.447386234998703; 0.9161617159843445; 0.8238341808319092]
35,0.6082595770985348,[0.0; 0.0; 0.0; 0.0; 0.0],0.970199704170227,[0.7549219131469727; 0.8377271294593811; 0.4497644007205963; 0.9137734174728394; 0.7818193435668945]
36,0.6008767936929699,[0.0; 0.0; 0.0; 0.0; 0.0],0.9029269678550854,[0.7820906639099121; 0.8341993093490601; 0.43022453784942627; 0.9177814722061157; 0.8126328587532043]
37,0.5999058650818881,[0.0; 0.0; 0.0; 0.0; 0.0],0.888178407100209,[0.7735203504562378; 0.8343570828437805; 0.4854804575443268; 0.9195020794868469; 0.7847152948379517]
38,0.5875558458416668,[0.0; 0.0; 0.0; 0.0; 0.0],0.9380953291006255,[0.7770377993583679; 0.8357264995574951; 0.4610273241996765; 0.9130273461341858; 0.8177925944328308]
39,0.5766343034918998,[0.0; 0.0; 0.0; 0.0; 0.0],0.9029878817106548,[0.7789621353149414; 0.8386579751968384; 0.4960624575614929; 0.9157710075378418; 0.8104356527328491]
40,0.5549388447607853,[0.0; 0.0; 0.0; 0.0; 0.0],0.8855145814125998,[0.7798874974250793; 0.8242615461349487; 0.45341604948043823; 0.9231832027435303; 0.8216437697410583]
41,0.5433891447174628,[0.0; 0.0; 0.0; 0.0; 0.0],0.9044965923878184,[0.7705264687538147; 0.8359596133232117; 0.47430500388145447; 0.9203181862831116; 0.799292802810669]
42,0.5375215296713721,[0.0; 0.0; 0.0; 0.0; 0.0],0.9410044205816168,[0.7805861234664917; 0.8428573608398438; 0.49901676177978516; 0.9176503419876099; 0.8055388927459717]
43,0.5331778234861808,[0.0; 0.0; 0.0; 0.0; 0.0],0.8998663383617735,[0.7779476642608643; 0.8351689577102661; 0.512495756149292; 0.918635368347168; 0.8165714144706726]
44,0.5208892472269256,[0.0; 0.0; 0.0; 0.0; 0.0],0.9183623456118399,[0.7817356586456299; 0.8426038026809692; 0.5279723405838013; 0.9262658357620239; 0.7776039838790894]
45,0.5277130123532108,[0.0; 0.0; 0.0; 0.0; 0.0],0.9897269721616778,[0.7628992795944214; 0.8398796319961548; 0.45383918285369873; 0.9233499765396118; 0.8087023496627808]
46,0.5033336579141764,[0.0; 0.0; 0.0; 0.0; 0.0],0.9163258263939306,[0.7725325226783752; 0.8315160274505615; 0.4744390845298767; 0.921552300453186; 0.823593258857727]
47,0.4963477571015853,[0.0; 0.0; 0.0; 0.0; 0.0],0.8768530916749385,[0.7727059125900269; 0.8235034942626953; 0.5119574069976807; 0.9211583137512207; 0.8274091482162476]
48,0.48690149234093844,[0.0; 0.0; 0.0; 0.0; 0.0],0.9306640625,[0.7775046229362488; 0.8382135629653931; 0.45666080713272095; 0.9189971685409546; 0.8437592387199402]
49,0.48559611443652223,[0.0; 0.0; 0.0; 0.0; 0.0],0.9067428739447343,[0.7610464096069336; 0.839689314365387; 0.5042862892150879; 0.9231937527656555; 0.8345489501953125]
50,0.4804431660549004,[0.0; 0.0; 0.0; 0.0; 0.0],0.9249438716654192,[0.7798357009887695; 0.8486568927764893; 0.5210474729537964; 0.9191526770591736; 0.8217006921768188]
51,0.4678302187530147,[0.0; 0.0; 0.0; 0.0; 0.0],0.929034013497202,[0.7786140441894531; 0.8493446111679077; 0.515338122844696; 0.926628828048706; 0.8115195631980896]
52,0.46083973936950395,[0.0; 0.0; 0.0; 0.0; 0.0],0.9214426216326261,[0.7710429430007935; 0.8347117304801941; 0.5042691826820374; 0.9227728843688965; 0.8289302587509155]
53,0.4513586187204778,[0.0; 0.0; 0.0; 0.0; 0.0],0.8936548902277361,[0.7618486881256104; 0.8328203558921814; 0.4999585449695587; 0.9256198406219482; 0.8335286378860474]
54,0.44545824730369954,[0.0; 0.0; 0.0; 0.0; 0.0],0.9338731786660981,[0.7670217752456665; 0.8403102159500122; 0.49548524618148804; 0.9291039705276489; 0.8086645603179932]
55,0.439776220792703,[0.0; 0.0; 0.0; 0.0; 0.0],0.9182328696836505,[0.7510983943939209; 0.8400299549102783; 0.5003801584243774; 0.9288017153739929; 0.8482288122177124]
56,0.44256800630234727,[0.0; 0.0; 0.0; 0.0; 0.0],0.9449526029720641,[0.7651484608650208; 0.846926212310791; 0.5258883833885193; 0.9218579530715942; 0.8048462867736816]
57,0.427758213436893,[0.0; 0.0; 0.0; 0.0; 0.0],0.934396649661817,[0.7736184000968933; 0.8396812677383423; 0.5461911559104919; 0.9272128343582153; 0.8204978704452515]
58,0.4242258948206112,[0.0; 0.0; 0.0; 0.0; 0.0],0.9588732384798819,[0.7704936861991882; 0.8462479114532471; 0.5230481624603271; 0.9279894232749939; 0.8115183115005493]
59,0.4149449480816755,[0.0; 0.0; 0.0; 0.0; 0.0],0.9820779582910371,[0.7870197892189026; 0.8507295846939087; 0.5291699171066284; 0.9275904297828674; 0.8106309175491333]
60,0.4004232184118519,[0.0; 0.0; 0.0; 0.0; 0.0],0.953013348997685,[0.7774251103401184; 0.8523141741752625; 0.5165852904319763; 0.9274237155914307; 0.8307936191558838]
61,0.4006622109323674,[0.0; 0.0; 0.0; 0.0; 0.0],1.010439720070153,[0.7865391969680786; 0.8564431667327881; 0.5489400625228882; 0.9210487604141235; 0.8129045963287354]
62,0.39341918581368907,[0.0; 0.0; 0.0; 0.0; 0.0],0.9720661221889028,[0.7870582342147827; 0.8431791663169861; 0.49740469455718994; 0.9265300631523132; 0.8284338712692261]
63,0.38643024029584383,[0.0; 0.0; 0.0; 0.0; 0.0],0.996126465630113,[0.7849106788635254; 0.849555253982544; 0.5284445285797119; 0.9284844398498535; 0.809843897819519]
64,0.3908160089393852,[0.0; 0.0; 0.0; 0.0; 0.0],0.9282318249083402,[0.7702547907829285; 0.8531848192214966; 0.5687832236289978; 0.9244296550750732; 0.8284543752670288]
65,0.3815216111557899,[0.0; 0.0; 0.0; 0.0; 0.0],1.0136893255668773,[0.7813597917556763; 0.8476194143295288; 0.5101072192192078; 0.9257022142410278; 0.8268972635269165]
66,0.37051663644792754,[0.0; 0.0; 0.0; 0.0; 0.0],1.020956980554681,[0.7891272306442261; 0.8476696014404297; 0.5375601053237915; 0.9259762763977051; 0.8202036023139954]
67,0.3589618382996018,[0.0; 0.0; 0.0; 0.0; 0.0],1.034918318715012,[0.7852311134338379; 0.8485061526298523; 0.5065023899078369; 0.9273622035980225; 0.8261213302612305]
68,0.36350558339628425,[0.0; 0.0; 0.0; 0.0; 0.0],1.0219213188740246,[0.7844790816307068; 0.8521960973739624; 0.519565999507904; 0.9274359941482544; 0.8271941542625427]
69,0.35893208998981163,[0.0; 0.0; 0.0; 0.0; 0.0],0.958828842430784,[0.7732311487197876; 0.8491058349609375; 0.5383650660514832; 0.9287134408950806; 0.8290932774543762]
70,0.35101585146080844,[0.0; 0.0; 0.0; 0.0; 0.0],0.9708350938663148,[0.7753366231918335; 0.8500376343727112; 0.5319198369979858; 0.9301538467407227; 0.8385680913925171]
