epoch,train_loss,train_eval,test_loss,test_eval
1,1.9477208258037273,[0.0; 0.0; 0.0; 0.0; 0.0],1.8782451591993634,[0.3939809203147888; 0.525076150894165; 0.02538919821381569; 0.28964951634407043; 0.08624213933944702]
2,1.7929541696249518,[0.0; 0.0; 0.0; 0.0; 0.0],1.6601127135126215,[0.41021519899368286; 0.6128947734832764; 0.03770191967487335; 0.7226916551589966; 0.08759292960166931]
3,1.6204671559744324,[0.0; 0.0; 0.0; 0.0; 0.0],1.5109142985260278,[0.5327962636947632; 0.705339789390564; 0.0685904324054718; 0.7896343469619751; 0.15743234753608704]
4,1.5040706677678932,[0.0; 0.0; 0.0; 0.0; 0.0],1.3943069064826297,[0.649057149887085; 0.7275546789169312; 0.061678819358348846; 0.8113527297973633; 0.3004877269268036]
5,1.4015360720636565,[0.0; 0.0; 0.0; 0.0; 0.0],1.3264776614674352,[0.6796778440475464; 0.7356739640235901; 0.07169350981712341; 0.834583044052124; 0.486928254365921]
6,1.3003782394442864,[0.0; 0.0; 0.0; 0.0; 0.0],1.2461718592727393,[0.6718795895576477; 0.759097695350647; 0.07308448851108551; 0.8559351563453674; 0.5611283779144287]
7,1.212957005890263,[0.0; 0.0; 0.0; 0.0; 0.0],1.1681492161332516,[0.7066690325737; 0.7607245445251465; 0.07768252491950989; 0.861699640750885; 0.6587626338005066]
8,1.1414981306783412,[0.0; 0.0; 0.0; 0.0; 0.0],1.1371304089562935,[0.7020398378372192; 0.7698125243186951; 0.09720572829246521; 0.8671111464500427; 0.6508385539054871]
9,1.0791830645491745,[0.0; 0.0; 0.0; 0.0; 0.0],1.059090442824782,[0.7383952140808105; 0.7707682251930237; 0.11542175710201263; 0.8708596229553223; 0.7231473922729492]
10,1.0236640779124717,[0.0; 0.0; 0.0; 0.0; 0.0],1.0228332406596135,[0.7403509616851807; 0.7689722776412964; 0.14410997927188873; 0.8765786290168762; 0.7121363282203674]
11,0.9763989864332523,[0.0; 0.0; 0.0; 0.0; 0.0],0.9984816501015111,[0.735227108001709; 0.7585791349411011; 0.16730070114135742; 0.8632296323776245; 0.7360536456108093]
12,0.944241652820284,[0.0; 0.0; 0.0; 0.0; 0.0],0.9708344769059566,[0.7256921529769897; 0.7768418192863464; 0.12153518199920654; 0.8805408477783203; 0.7001064419746399]
