epoch,train_loss,train_eval,test_loss,test_eval
1,1.8768789707693305,[0.0; 0.0; 0.0; 0.0; 0.0],1.7949740426582204,[0.38821786642074585; 0.40888503193855286; 0.03782767057418823; 0.2659139931201935; 0.10193373262882233]
2,1.7527136181627152,[0.0; 0.0; 0.0; 0.0; 0.0],1.6274373531341553,[0.40476641058921814; 0.4080057144165039; 0.05567031353712082; 0.562103271484375; 0.2687923312187195]
3,1.5823808592676327,[0.0; 0.0; 0.0; 0.0; 0.0],1.4402729795690168,[0.42264339327812195; 0.5509415864944458; 0.07905083894729614; 0.7297948002815247; 0.4512596130371094]
4,1.4546606822255959,[0.0; 0.0; 0.0; 0.0; 0.0],1.3598064874347888,[0.5045295357704163; 0.5865582227706909; 0.11023332178592682; 0.7797269821166992; 0.5081852078437805]
5,1.3751516710580316,[0.0; 0.0; 0.0; 0.0; 0.0],1.2788396990090085,[0.5718553066253662; 0.5523650050163269; 0.14728997647762299; 0.805939257144928; 0.5807836651802063]
6,1.2855731154119732,[0.0; 0.0; 0.0; 0.0; 0.0],1.1976552846138937,[0.6064571142196655; 0.48197346925735474; 0.1714034527540207; 0.8229373693466187; 0.618055522441864]
7,1.2093443157393937,[0.0; 0.0; 0.0; 0.0; 0.0],1.1725820365704989,[0.6296541094779968; 0.5948992967605591; 0.15194982290267944; 0.828621506690979; 0.6460473537445068]
8,1.1525695342364954,[0.0; 0.0; 0.0; 0.0; 0.0],1.0675598278380276,[0.6577608585357666; 0.5049126744270325; 0.19618986546993256; 0.8425444960594177; 0.7325237393379211]
9,1.0908196167177449,[0.0; 0.0; 0.0; 0.0; 0.0],1.1171650468257435,[0.6270616054534912; 0.6472538709640503; 0.18135932087898254; 0.8440154790878296; 0.690824031829834]
10,1.0398525949608675,[0.0; 0.0; 0.0; 0.0; 0.0],1.0329656517296506,[0.6654422283172607; 0.6199554204940796; 0.2161746323108673; 0.8583228588104248; 0.7202257513999939]
