epoch,train_loss,train_eval,test_loss,test_eval
1,1.834954843879009,[0.0; 0.0; 0.0; 0.0; 0.0],1.7150546688782542,[0.4512743353843689; 0.6130059957504272; 0.058806221932172775; 0.3535991609096527; 0.10052280128002167]
2,1.6139101834749807,[0.0; 0.0; 0.0; 0.0; 0.0],1.4104491514072084,[0.5222069025039673; 0.7147976160049438; 0.0767236053943634; 0.7388702630996704; 0.3075418472290039]
3,1.414407277212501,[0.0; 0.0; 0.0; 0.0; 0.0],1.290413454959267,[0.5806141495704651; 0.7002843022346497; 0.11736230552196503; 0.7980681657791138; 0.450036883354187]
4,1.2969068933533254,[0.0; 0.0; 0.0; 0.0; 0.0],1.3045763802110104,[0.6438676118850708; 0.6903249025344849; 0.13468371331691742; 0.8420423269271851; 0.571300745010376]
5,1.2169628198573132,[0.0; 0.0; 0.0; 0.0; 0.0],1.1504495666738142,[0.6450071334838867; 0.6986111998558044; 0.11906028538942337; 0.8407864570617676; 0.6332781314849854]
6,1.1340166059287704,[0.0; 0.0; 0.0; 0.0; 0.0],1.1309748135114972,[0.6531147956848145; 0.7192718982696533; 0.15534016489982605; 0.8504061102867126; 0.6018540263175964]
7,1.0899572827694959,[0.0; 0.0; 0.0; 0.0; 0.0],1.087172686007985,[0.6597358584403992; 0.7135633230209351; 0.16914254426956177; 0.8616860508918762; 0.6697548627853394]
8,1.0438994671861594,[0.0; 0.0; 0.0; 0.0; 0.0],1.256915519112035,[0.6371288895606995; 0.7213535308837891; 0.20847123861312866; 0.8594619631767273; 0.677508533000946]
9,0.9934805089537935,[0.0; 0.0; 0.0; 0.0; 0.0],1.0185662769434745,[0.6636028289794922; 0.744709849357605; 0.2170698344707489; 0.8739756345748901; 0.6906222105026245]
10,0.9777531558051541,[0.0; 0.0; 0.0; 0.0; 0.0],0.9592867357689038,[0.6958306431770325; 0.7850552201271057; 0.2737513482570648; 0.8781766891479492; 0.7206979990005493]
11,0.9495457650283577,[0.0; 0.0; 0.0; 0.0; 0.0],0.9313305041246247,[0.7146347165107727; 0.7133266925811768; 0.26340413093566895; 0.8781116008758545; 0.7470569610595703]
12,0.9401636053921107,[0.0; 0.0; 0.0; 0.0; 0.0],1.0176372172539694,[0.6868120431900024; 0.7644479274749756; 0.3105340600013733; 0.8611569404602051; 0.699450671672821]
