epoch,train_loss,train_eval,test_loss,test_eval
1,1.9492806530419828,[0.0; 0.0; 0.0; 0.0; 0.0],1.8584211165444893,[0.39118069410324097; 0.43171584606170654; 0.03714234381914139; 0.1927526891231537; 0.07265962660312653]
2,1.87286513662233,[0.0; 0.0; 0.0; 0.0; 0.0],1.8076703464775754,[0.4176289439201355; 0.4777841866016388; 0.04787983000278473; 0.24986517429351807; 0.08614473044872284]
3,1.8100855079444564,[0.0; 0.0; 0.0; 0.0; 0.0],1.7424240007735134,[0.4562603235244751; 0.5433485507965088; 0.05474056676030159; 0.32974064350128174; 0.0910639837384224]
4,1.7496256109894506,[0.0; 0.0; 0.0; 0.0; 0.0],1.7067143812514187,[0.4939589500427246; 0.6272567510604858; 0.07089228183031082; 0.4106678366661072; 0.08178456127643585]
5,1.6809819286759062,[0.0; 0.0; 0.0; 0.0; 0.0],1.5782822726065653,[0.5228657722473145; 0.6596003770828247; 0.0768992006778717; 0.5750443935394287; 0.17069196701049805]
6,1.5729746523808696,[0.0; 0.0; 0.0; 0.0; 0.0],1.4166085197214495,[0.531834602355957; 0.6633108854293823; 0.08771496266126633; 0.7570327520370483; 0.28388142585754395]
7,1.4866246142924227,[0.0; 0.0; 0.0; 0.0; 0.0],1.3442328478160657,[0.5085189938545227; 0.6738623976707458; 0.096966952085495; 0.7867419719696045; 0.31942248344421387]
8,1.3915280098420368,[0.0; 0.0; 0.0; 0.0; 0.0],1.3122271947693407,[0.5784099102020264; 0.6995730996131897; 0.11022725701332092; 0.8268624544143677; 0.509628415107727]
9,1.329547958921386,[0.0; 0.0; 0.0; 0.0; 0.0],1.1803580208828575,[0.5882035493850708; 0.6977872252464294; 0.11916355043649673; 0.8423296809196472; 0.6617225408554077]
10,1.2638698779457715,[0.0; 0.0; 0.0; 0.0; 0.0],1.1519963030229534,[0.5660973787307739; 0.7019723653793335; 0.14174607396125793; 0.8257917165756226; 0.6650029420852661]
11,1.2278582165572818,[0.0; 0.0; 0.0; 0.0; 0.0],1.082814083810438,[0.5983150005340576; 0.6916665434837341; 0.13922488689422607; 0.8515627384185791; 0.7067463397979736]
12,1.1974037490933147,[0.0; 0.0; 0.0; 0.0; 0.0],1.0862306314602233,[0.5886397957801819; 0.6797303557395935; 0.16400635242462158; 0.8464772701263428; 0.7134910821914673]
13,1.1516525105924795,[0.0; 0.0; 0.0; 0.0; 0.0],1.053257237400925,[0.621934175491333; 0.6901208758354187; 0.18354669213294983; 0.8490499258041382; 0.7226775288581848]
