epoch,train_loss,train_eval,test_loss,test_eval
1,1.5788223261864769,[0.0; 0.0; 0.0; 0.0; 0.0],1.407035179305495,[0.4203050136566162; 0.6894924640655518; 0.0484006330370903; 0.5374550819396973; 0.0945141464471817]
2,1.3374600773615553,[0.0; 0.0; 0.0; 0.0; 0.0],1.1774932438867134,[0.6747729778289795; 0.7637220025062561; 0.07469919323921204; 0.7662755250930786; 0.3681894838809967]
3,1.1689453174999482,[0.0; 0.0; 0.0; 0.0; 0.0],1.0460572598273294,[0.6973228454589844; 0.7575820684432983; 0.08514242619276047; 0.830273449420929; 0.5530758500099182]
4,1.066616021244731,[0.0; 0.0; 0.0; 0.0; 0.0],0.976150815947014,[0.7146213054656982; 0.7925384044647217; 0.07055951654911041; 0.8504688143730164; 0.5959804058074951]
5,0.971599757408201,[0.0; 0.0; 0.0; 0.0; 0.0],0.9429093139213428,[0.6820224523544312; 0.7860499620437622; 0.08893858641386032; 0.8632684946060181; 0.6707984209060669]
6,0.9360215420491385,[0.0; 0.0; 0.0; 0.0; 0.0],0.9603781679220367,[0.5973923206329346; 0.7736613154411316; 0.07440681755542755; 0.8707541227340698; 0.6332892179489136]
7,0.8820326345382674,[0.0; 0.0; 0.0; 0.0; 0.0],0.8825408554913705,[0.6948458552360535; 0.7625059485435486; 0.09904852509498596; 0.8743958473205566; 0.6886337399482727]
8,0.8408794795177367,[0.0; 0.0; 0.0; 0.0; 0.0],0.9006533267205221,[0.6786157488822937; 0.7305329442024231; 0.08222763240337372; 0.8752377033233643; 0.7239372730255127]
9,0.8275094595439649,[0.0; 0.0; 0.0; 0.0; 0.0],0.870338753650063,[0.7151180505752563; 0.6926017999649048; 0.13585349917411804; 0.8783667087554932; 0.6795446872711182]
10,0.7961418005014886,[0.0; 0.0; 0.0; 0.0; 0.0],0.8416702715974105,[0.7244310975074768; 0.7439594268798828; 0.13766580820083618; 0.8857654333114624; 0.7112209796905518]
11,0.7774857644476901,[0.0; 0.0; 0.0; 0.0; 0.0],0.8739221681628311,[0.6837779879570007; 0.7484591603279114; 0.18493476510047913; 0.8722187876701355; 0.6600345373153687]
12,0.7705686235796274,[0.0; 0.0; 0.0; 0.0; 0.0],0.8065081907991778,[0.700774073600769; 0.7756776809692383; 0.22542251646518707; 0.8728563189506531; 0.770298421382904]
13,0.7256971139781523,[0.0; 0.0; 0.0; 0.0; 0.0],0.8009076003442731,[0.7192485332489014; 0.7284529209136963; 0.24085733294487; 0.8979300856590271; 0.7392346262931824]
14,0.6939364974335592,[0.0; 0.0; 0.0; 0.0; 0.0],0.72679617112143,[0.7446291446685791; 0.8106949329376221; 0.2983906865119934; 0.8951801061630249; 0.7797407507896423]
15,0.6832932924592732,[0.0; 0.0; 0.0; 0.0; 0.0],0.7717917728842351,[0.7112431526184082; 0.7832893133163452; 0.2707090377807617; 0.8876261711120605; 0.7533444166183472]
