epoch,train_loss,train_eval,test_loss,test_eval
1,0.8097583902855846,[0.0; 0.0; 0.0; 0.0; 0.0],0.7282260321734244,[0.42184531688690186; 0.6733459830284119; 0.028195451945066452; 0.5571107268333435; 0.14097607135772705]
2,0.7170923166717125,[0.0; 0.0; 0.0; 0.0; 0.0],0.6351876300677919,[0.6671820282936096; 0.7549617290496826; 0.04539118707180023; 0.7593660354614258; 0.4114830195903778]
3,0.6438113427320064,[0.0; 0.0; 0.0; 0.0; 0.0],0.590338807356985,[0.6705463528633118; 0.7189208269119263; 0.037025392055511475; 0.8049861192703247; 0.46256229281425476]
4,0.5841890895866664,[0.0; 0.0; 0.0; 0.0; 0.0],0.5630478649808649,[0.6558281183242798; 0.7652386426925659; 0.03850337862968445; 0.7888318300247192; 0.34249943494796753]
5,0.5280158088170404,[0.0; 0.0; 0.0; 0.0; 0.0],0.49233287468291165,[0.6723674535751343; 0.7777619361877441; 0.06259044259786606; 0.8166360855102539; 0.6081582307815552]
6,0.49686824828057363,[0.0; 0.0; 0.0; 0.0; 0.0],0.4889971226976629,[0.6271375417709351; 0.7590047121047974; 0.08423387259244919; 0.8228543996810913; 0.5897716283798218]
7,0.46530493745214363,[0.0; 0.0; 0.0; 0.0; 0.0],0.44352648028156216,[0.6247571110725403; 0.7694061994552612; 0.10865280777215958; 0.8344665765762329; 0.5936657786369324]
8,0.4479517670919827,[0.0; 0.0; 0.0; 0.0; 0.0],0.4903627749074969,[0.6173979640007019; 0.7401375770568848; 0.1070544421672821; 0.8063290119171143; 0.6445565223693848]
9,0.43933359045066583,[0.0; 0.0; 0.0; 0.0; 0.0],0.4403529449513084,[0.6708294153213501; 0.7494040727615356; 0.10815352946519852; 0.7836098670959473; 0.5390230417251587]
10,0.4158274047158938,[0.0; 0.0; 0.0; 0.0; 0.0],0.43072486969462614,[0.6101703643798828; 0.7586889266967773; 0.1774575263261795; 0.8302572965621948; 0.6187218427658081]
11,0.4140547381068434,[0.0; 0.0; 0.0; 0.0; 0.0],0.47423951249373586,[0.6508762836456299; 0.7161760330200195; 0.11575266718864441; 0.825730562210083; 0.46381649374961853]
12,0.4099231084714136,[0.0; 0.0; 0.0; 0.0; 0.0],0.43701277385678206,[0.6565923094749451; 0.6992955207824707; 0.1571345031261444; 0.775803804397583; 0.6496700048446655]
13,0.40233394036493025,[0.0; 0.0; 0.0; 0.0; 0.0],0.4184229290276243,[0.6683991551399231; 0.7450205087661743; 0.15922729671001434; 0.7721431255340576; 0.6415843367576599]
14,0.3861584768653179,[0.0; 0.0; 0.0; 0.0; 0.0],0.3962365754863672,[0.6565485000610352; 0.7658853530883789; 0.201712504029274; 0.7428290843963623; 0.6250139474868774]
15,0.3766557580851035,[0.0; 0.0; 0.0; 0.0; 0.0],0.3657075323556599,[0.6670486330986023; 0.7437089085578918; 0.26247185468673706; 0.8349807262420654; 0.6463573575019836]
